Pair;Price;Change;30d Trend;High;Low;Sentiment
EURUSD;"=GOOGLEFINANCE(""CURRENCY:EURUSD"")";-0.0032;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:EURUSD""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:EURUSD""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:EURUSD""; ""low"")";"=IF(""CURRENCY:EURUSD"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:EURUSD"");1) > 0; ""Bull""; ""Bear""); ""-"")"
GBPUSD;"=GOOGLEFINANCE(""CURRENCY:GBPUSD"")";-0.0046;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:GBPUSD""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:GBPUSD""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:GBPUSD""; ""low"")";"=IF(""CURRENCY:GBPUSD"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:GBPUSD"");1) > 0; ""Bull""; ""Bear""); ""-"")"
USDJPY;"=GOOGLEFINANCE(""CURRENCY:USDJPY"")";-0.0003;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:USDJPY""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:USDJPY""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:USDJPY""; ""low"")";"=IF(""CURRENCY:USDJPY"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:USDJPY"");1) > 0; ""Bull""; ""Bear""); ""-"")"
USDCHF;"=GOOGLEFINANCE(""CURRENCY:USDCHF"")";0.0077;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:USDCHF""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:USDCHF""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:USDCHF""; ""low"")";"=IF(""CURRENCY:USDCHF"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:USDCHF"");1) > 0; ""Bull""; ""Bear""); ""-"")"
AUDUSD;"=GOOGLEFINANCE(""CURRENCY:AUDUSD"")";-0.0041;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:AUDUSD""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:AUDUSD""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:AUDUSD""; ""low"")";"=IF(""CURRENCY:AUDUSD"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:AUDUSD"");1) > 0; ""Bull""; ""Bear""); ""-"")"
USDCAD;"=GOOGLEFINANCE(""CURRENCY:USDCAD"")";0.0053;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:USDCAD""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:USDCAD""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:USDCAD""; ""low"")";"=IF(""CURRENCY:USDCAD"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:USDCAD"");1) > 0; ""Bull""; ""Bear""); ""-"")"
NZDUSD;"=GOOGLEFINANCE(""CURRENCY:NZDUSD"")";-0.0166;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:NZDUSD""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:NZDUSD""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:NZDUSD""; ""low"")";"=IF(""CURRENCY:NZDUSD"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:NZDUSD"");1) > 0; ""Bull""; ""Bear""); ""-"")"
EURGBP;"=GOOGLEFINANCE(""CURRENCY:EURGBP"")";0.001;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:EURGBP""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:EURGBP""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:EURGBP""; ""low"")";"=IF(""CURRENCY:EURGBP"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:EURGBP"");1) > 0; ""Bull""; ""Bear""); ""-"")"
EURJPY;"=GOOGLEFINANCE(""CURRENCY:EURJPY"")";-0.0038;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:EURJPY""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:EURJPY""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:EURJPY""; ""low"")";"=IF(""CURRENCY:EURJPY"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:EURJPY"");1) > 0; ""Bull""; ""Bear""); ""-"")"
GBPJPY;"=GOOGLEFINANCE(""CURRENCY:GBPJPY"")";-0.0048;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:GBPJPY""; ""price""; HOY()-30; HOY()))";"=GOOGLEFINANCE(""CURRENCY:GBPJPY""; ""high"")";"=GOOGLEFINANCE(""CURRENCY:GBPJPY""; ""low"")";"=IF(""CURRENCY:GBPJPY"" <> """"; IF(INDEX(GOOGLEFINANCE(""CURRENCY:GBPJPY"");1) > 0; ""Bull""; ""Bear""); ""-"")"
