ID;Fecha;Ticker;Empresa (Google);Precio Actual (Google);Cambio % (Google);Tendencia 1A (Sparkline);Entrada Signal;Stop Loss;Target;Estado;Tipo;Notas
20260213_VIRT;2026-02-13;VIRT;"=GOOGLEFINANCE(""VIRT""; ""name"")";"=GOOGLEFINANCE(""VIRT""; ""price"")";"=GOOGLEFINANCE(""VIRT""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""VIRT""; ""price""; HOY()-365; HOY()))";37,5;36,2;40,0;PENDING;LONG;Hedge de volatilidad. VIX > 20.
20260213_NEM;2026-02-13;NEM;"=GOOGLEFINANCE(""NEM""; ""name"")";"=GOOGLEFINANCE(""NEM""; ""price"")";"=GOOGLEFINANCE(""NEM""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""NEM""; ""price""; HOY()-365; HOY()))";120,5;117,0;128,0;PENDING;LONG;Oro como refugio (Inflation Hedge).
20260213_PFE;2026-02-13;PFE;"=GOOGLEFINANCE(""PFE""; ""name"")";"=GOOGLEFINANCE(""PFE""; ""price"")";"=GOOGLEFINANCE(""PFE""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""PFE""; ""price""; HOY()-365; HOY()))";27,5;26,9;28,5;PENDING;LONG;Yield play defensivo.
20260213_SQQQ;2026-02-13;SQQQ;"=GOOGLEFINANCE(""SQQQ""; ""name"")";"=GOOGLEFINANCE(""SQQQ""; ""price"")";"=GOOGLEFINANCE(""SQQQ""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""SQQQ""; ""price""; HOY()-365; HOY()))";73,1;69,5;80,0;PENDING;LONG;Cobertura táctica. Precio verificado.
20260213_STX;2026-02-13;STX;"=GOOGLEFINANCE(""STX""; ""name"")";"=GOOGLEFINANCE(""STX""; ""price"")";"=GOOGLEFINANCE(""STX""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""STX""; ""price""; HOY()-365; HOY()))";435,0;420,0;460,0;PENDING;LONG;Fuerza relativa masiva (New ATHs). Sector Storage.
20260214_INTC;2026-02-14;INTC;"=GOOGLEFINANCE(""INTC""; ""name"")";"=GOOGLEFINANCE(""INTC""; ""price"")";"=GOOGLEFINANCE(""INTC""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""INTC""; ""price""; HOY()-365; HOY()))";42,5;41,8;43,8;PENDING;LONG;Rebote en SMA 200. Value Play.
20260214_PFE;2026-02-14;PFE;"=GOOGLEFINANCE(""PFE""; ""name"")";"=GOOGLEFINANCE(""PFE""; ""price"")";"=GOOGLEFINANCE(""PFE""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""PFE""; ""price""; HOY()-365; HOY()))";27,8;27,4;28,5;PENDING;LONG;Rotación defensiva. Yield Play.
20260214_F;2026-02-14;F;"=GOOGLEFINANCE(""F""; ""name"")";"=GOOGLEFINANCE(""F""; ""price"")";"=GOOGLEFINANCE(""F""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""F""; ""price""; HOY()-365; HOY()))";11,2;10,9;11,6;PENDING;LONG;Compra institucional en soporte $11.
20260214_VZ;2026-02-14;VZ;"=GOOGLEFINANCE(""VZ""; ""name"")";"=GOOGLEFINANCE(""VZ""; ""price"")";"=GOOGLEFINANCE(""VZ""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""VZ""; ""price""; HOY()-365; HOY()))";39,4;38,9;40,2;PENDING;LONG;Soporte sólido. Rotación defensiva.
20260214_GOLD;2026-02-14;GOLD;"=GOOGLEFINANCE(""GOLD""; ""name"")";"=GOOGLEFINANCE(""GOLD""; ""price"")";"=GOOGLEFINANCE(""GOLD""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""GOLD""; ""price""; HOY()-365; HOY()))";15,5;15,1;16,2;PENDING;LONG;Correlación inversa por miedo.
20260214_SMCI;2026-02-14;SMCI;"=GOOGLEFINANCE(""SMCI""; ""name"")";"=GOOGLEFINANCE(""SMCI""; ""price"")";"=GOOGLEFINANCE(""SMCI""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""SMCI""; ""price""; HOY()-365; HOY()))";980,5;950,0;1050,0;PENDING;LONG;Short Squeeze Alert. Bandera alcista.
20260214_PLTR;2026-02-14;PLTR;"=GOOGLEFINANCE(""PLTR""; ""name"")";"=GOOGLEFINANCE(""PLTR""; ""price"")";"=GOOGLEFINANCE(""PLTR""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""PLTR""; ""price""; HOY()-365; HOY()))";24,8;23,9;26,5;PENDING;LONG;Consolidación y ruptura. Rumores contrato.
20260214_TSLA;2026-02-14;TSLA;"=GOOGLEFINANCE(""TSLA""; ""name"")";"=GOOGLEFINANCE(""TSLA""; ""price"")";"=GOOGLEFINANCE(""TSLA""; ""changepct"")";"=SPARKLINE(GOOGLEFINANCE(""TSLA""; ""price""; HOY()-365; HOY()))";195,2;201,5;185,0;PENDING;SHORT;Fallo en resistencia $200. Divergencia bajista.
